hex_id,resolution,hex_area_m2
872a100aaffffff,7,5161293.20
872a100d4ffffff,7,5161293.20
872a10728ffffff,7,5161293.20
872a100d2ffffff,7,5161293.20
872a100f2ffffff,7,5161293.20
872a100d0ffffff,7,5161293.20
872a100d3ffffff,7,5161293.20
872a100a8ffffff,7,5161293.20
872a1072cffffff,7,5161293.20
872a1072dffffff,7,5161293.20
872a1008dffffff,7,5161293.20
872a10089ffffff,7,5161293.20
872a100d6ffffff,7,5161293.20
872a10721ffffff,7,5161293.20
872a10088ffffff,7,5161293.20
872a100abffffff,7,5161293.20
872a1008bffffff,7,5161293.20
872a1008cffffff,7,5161293.20
872a100aeffffff,7,5161293.20
872a10725ffffff,7,5161293.20
